class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples
GISAID	GISAID Submission Form		Submitter	submitter	WhitespaceMinimizedString			TRUE							enter your GISAID-Username		
	GISAID Submission Form		FASTA filename	fasta_filename	WhitespaceMinimizedString			TRUE							the filename that contains the sequence without path (e.g. all_sequences.fasta not c:\users\meier\docs\all_sequences.fasta)		
	GISAID Submission Form		Virus name	virus_name	WhitespaceMinimizedString			TRUE							e.g. hCoV-19/Netherlands/Gelderland-01/2020 (Must be FASTA-Header from the FASTA file all_sequences.fasta)		
	GISAID Submission Form		Type	type	TypeMenu			TRUE							default must remain "betacoronavirus"		
	GISAID Submission Form		Passage details/history	passage_details_history	WhitespaceMinimizedString			TRUE							e.g. Original, Vero		
	GISAID Submission Form		Collection date	collection_date	WhitespaceMinimizedString			TRUE							Date in the format YYYY or YYYY-MM or YYYY-MM-DD		
	GISAID Submission Form		Location	location	WhitespaceMinimizedString			TRUE							e.g. Europe / Germany / Bavaria / Munich		
	GISAID Submission Form		Additional location information	additional_location_information	WhitespaceMinimizedString										e.g. Cruise Ship, Convention, Live animal market		
	GISAID Submission Form		Host	host	WhitespaceMinimizedString			TRUE							e.g. Human, Environment, Canine, Manis javanica, Rhinolophus affinis, etc		
	GISAID Submission Form		Additional host information	additional_host_information	WhitespaceMinimizedString										e.g. Patient infected while traveling in â€¦.		
	GISAID Submission Form		Sampling Strategy	sampling_strategy	WhitespaceMinimizedString										e.g. Sentinel surveillance (ILI), Sentinel surveillance (ARI), Sentinel surveillance (SARI), Non-sentinel-surveillance (hospital), Non-sentinel-surveillance (GP network), Longitudinal sampling on same patient(s), S gene dropout		
	GISAID Submission Form		Gender	gender	WhitespaceMinimizedString			TRUE							Male, Female, or unknown		
	GISAID Submission Form		Patient age	patient_age	WhitespaceMinimizedString			TRUE							e.g.  65 or 7 months, or unknown		
	GISAID Submission Form		Patient status	patient_status	WhitespaceMinimizedString			TRUE							e.g.  Hospitalized, Released, Live, Deceased, or unknown		
	GISAID Submission Form		Specimen source	specimen_source	WhitespaceMinimizedString										e.g. Sputum, Alveolar lavage fluid, Oro-pharyngeal swab, Blood, Tracheal swab, Urine, Stool, Cloakal swab, Organ, Feces, Other		
	GISAID Submission Form		Outbreak	outbreak	WhitespaceMinimizedString										Date, Location e.g. type of gathering, Family cluster, etc.		
	GISAID Submission Form		Last vaccinated	last_vaccinated	WhitespaceMinimizedString										provide details if applicable		
	GISAID Submission Form		Treatment	treatment	WhitespaceMinimizedString										Include drug name, dosage		
	GISAID Submission Form		Sequencing technology	sequencing_technology	WhitespaceMinimizedString			TRUE							e.g.  Illumina Miseq, Sanger, Nanopore MinION, Ion Torrent, etc.		
	GISAID Submission Form		Assembly method	assembly_method	WhitespaceMinimizedString										e.g. CLC Genomics Workbench 12, Geneious 10.2.4, SPAdes/MEGAHIT v1.2.9, UGENE v. 33, etc.		
	GISAID Submission Form		Coverage	coverage	WhitespaceMinimizedString										e.g. 70x, 1,000x, 10,000x (average)		
	GISAID Submission Form		Originating lab	originating_lab	WhitespaceMinimizedString			TRUE							Where the clinical specimen or virus isolate was first obtained		
	GISAID Submission Form		Address	address	WhitespaceMinimizedString			TRUE									
	GISAID Submission Form		Sample ID given by the sample provider	sample_id_given_by_the_sample_provider	WhitespaceMinimizedString												
	GISAID Submission Form		Submitting lab	submitting_lab	WhitespaceMinimizedString			TRUE							Where sequence data have been generated and submitted to GISAID		
	GISAID Submission Form		Address	address	WhitespaceMinimizedString			TRUE									
	GISAID Submission Form		Sample ID given by the submitting laboratory	sample_id_given_by_the_submitting_laboratory	WhitespaceMinimizedString												
	GISAID Submission Form		Authors	authors	WhitespaceMinimizedString										a comma separated list of Authors with complete First followed by Last Name		
																	
																	
																	